trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [757.302s][info][gc] Allocation Stall (http-client-scheduler-72) 2372.977ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [757.324s][info][gc] GC(221) Garbage Collection (Allocation Stall) 2950M(96%)->2334M(76%)
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.360s][info][gc] Allocation Stall (drain-state-query-manager) 367.693ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.360s][info][gc] Allocation Stall (http-client-memoryManager-60) 290.842ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.360s][info][gc] Allocation Stall (http-worker-141) 612.593ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.360s][info][gc] Allocation Stall (statement-response-34) 154.733ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.360s][info][gc] Allocation Stall (execution-query-purger) 327.409ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [760.368s][info][gc] GC(222) Garbage Collection (Allocation Stall) 2386M(78%)->2872M(93%)
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (drain-state-query-manager) 1031.587ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (dispatch-executor-2) 488.399ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (ContinuousTaskStatusFetcher-20220812_114354_14958_ptaua.0.0.0-637) 936.436ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (http-worker-341) 954.590ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (query-management-0) 696.778ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (ContinuousTaskStatusFetcher-20220812_114354_14962_ptaua.0.0.0-535) 413.907ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (http-client-node-manager-49) 954.270ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (http-remote-store-dynamic) 955.467ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (query-management-1) 477.325ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (execution-query-purger) 597.087ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (http-worker-141) 52.266ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.258s][info][gc] Allocation Stall (http-worker-451) 1043.655ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [763.273s][info][gc] GC(223) Garbage Collection (Allocation Stall) 2872M(93%)->2408M(78%)
